symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,price
3,alfa-romero,gas,std,two,convertible,rwd,front,88.6,13495
3,alfa-romero,gas,std,two,convertible,rwd,front,88.6,16500
1,alfa-romero,gas,,two,hatchback,rwd,front,,16500
2,audi,gas,,four,,fwd,front,99.8,13950
2,,gas,,four,sedan,4wd,front,99.4,17450
2,audi,gas,std,two,sedan,fwd,front,99.8,15250
1,audi,gas,std,four,sedan,fwd,front,105.8,17710
1,audi,gas,std,four,,fwd,front,,18920
1,audi,gas,turbo,four,sedan,fwd,front,105.8,23875
0,audi,gas,turbo,two,hatchback,4wd,front,99.5,23875
2,bmw,gas,std,two,sedan,rwd,front,101.2,16430
0,bmw,gas,std,four,sedan,rwd,front,101.2,16925
0,,gas,,two,sedan,rwd,front,101.2,20970
0,bmw,gas,std,four,,rwd,front,101.2,21105
1,bmw,gas,std,four,sedan,rwd,front,103.5,24565
0,bmw,gas,std,four,sedan,rwd,front,,30760
0,bmw,gas,,two,sedan,rwd,front,103.5,41315
0,bmw,gas,std,four,,rwd,front,110,36880
2,chevrolet,gas,std,two,hatchback,fwd,front,88.4,5151
1,chevrolet,gas,std,two,hatchback,fwd,front,94.5,6295
0,chevrolet,gas,std,four,sedan,fwd,front,94.5,6575
1,dodge,gas,,two,hatchback,fwd,front,,5572
1,dodge,gas,std,two,,fwd,front,93.7,6377
1,dodge,gas,,two,hatchback,fwd,front,93.7,7957
1,dodge,gas,,four,hatchback,fwd,front,93.7,6229
1,dodge,gas,std,four,sedan,fwd,front,93.7,6692
1,,gas,std,four,,fwd,front,93.7,7609
1,dodge,gas,turbo,four,sedan,fwd,front,,8558
-1,dodge,gas,std,four,wagon,fwd,front,103.3,8921
3,dodge,gas,turbo,two,hatchback,fwd,front,95.9,12964
2,honda,gas,std,two,hatchback,fwd,front,86.6,6479
2,honda,gas,std,two,hatchback,fwd,front,86.6,6855
1,honda,gas,std,two,,fwd,front,93.7,5399
1,honda,gas,,two,hatchback,fwd,front,93.7,6529
1,honda,gas,std,two,hatchback,fwd,front,93.7,7129
0,,gas,std,four,sedan,fwd,front,96.5,7295
0,honda,gas,std,four,wagon,fwd,front,96.5,7295
0,honda,gas,,two,,fwd,front,,7895
0,honda,gas,std,two,hatchback,fwd,front,96.5,9095
0,honda,gas,std,four,sedan,fwd,front,96.5,8845
0,honda,gas,std,four,sedan,fwd,front,96.5,10295
0,honda,gas,std,four,sedan,fwd,front,96.5,12945
1,honda,gas,std,two,sedan,fwd,front,,10345
0,isuzu,gas,std,four,sedan,rwd,front,94.3,6785
1,isuzu,gas,std,two,sedan,fwd,front,94.5,7663.058824
0,isuzu,gas,,four,sedan,fwd,front,94.5,7663.058824
2,isuzu,gas,std,two,hatchback,rwd,front,96,11048
0,jaguar,gas,std,four,sedan,rwd,front,113,32250
0,jaguar,gas,std,four,,rwd,front,113,35550
0,jaguar,gas,,two,sedan,rwd,front,102,36000
1,mazda,gas,std,two,hatchback,fwd,front,93.1,5195
1,mazda,gas,std,two,hatchback,fwd,front,,6095
1,mazda,gas,std,two,,fwd,front,93.1,6795
1,mazda,gas,,four,sedan,fwd,front,93.1,6695
1,mazda,gas,,four,sedan,fwd,front,93.1,7395
3,,gas,std,two,hatchback,rwd,front,,10945
3,mazda,gas,std,two,hatchback,rwd,front,95.3,11845
3,mazda,gas,std,two,hatchback,rwd,front,95.3,13645
3,mazda,gas,std,two,,rwd,front,95.3,15645
1,mazda,gas,std,two,hatchback,fwd,front,98.8,8845
0,mazda,gas,std,four,sedan,fwd,front,98.8,8495
1,mazda,gas,std,two,hatchback,fwd,front,98.8,10595
0,mazda,gas,std,four,sedan,fwd,front,98.8,10245
0,mazda,diesel,std,four,sedan,fwd,front,,10795
0,mazda,gas,std,four,hatchback,fwd,front,98.8,11245
0,mazda,gas,,four,sedan,rwd,front,104.9,18280
0,mazda,diesel,std,four,sedan,rwd,front,104.9,18344
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,25552
-1,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,28248
0,mercedes-benz,diesel,,two,,rwd,front,106.7,28176
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,31600
-1,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,34184
3,,gas,std,two,convertible,rwd,front,,35056
0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,40960
1,mercedes-benz,gas,,two,hardtop,rwd,front,112,45400
1,mercury,gas,turbo,two,hatchback,rwd,front,102.7,16503
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,5389
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,6189
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,6669
1,,gas,,two,,fwd,front,93,7689
3,mitsubishi,gas,turbo,two,,fwd,front,96.3,9959
3,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,8499
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,12629
3,,gas,turbo,two,hatchback,fwd,front,95.9,14869
3,mitsubishi,gas,,two,hatchback,fwd,front,,14489
1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,6989
1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,8189
1,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,9279
-1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,9279
1,nissan,gas,std,two,sedan,fwd,front,94.5,5499
1,nissan,diesel,,two,,fwd,front,94.5,7099
1,,gas,std,two,,fwd,front,94.5,6649
1,,gas,std,four,sedan,fwd,front,94.5,6849
1,nissan,gas,std,four,wagon,fwd,front,94.5,7349
1,nissan,gas,std,two,sedan,fwd,front,,7299
1,nissan,gas,std,two,hatchback,fwd,front,94.5,7799
1,nissan,gas,std,four,sedan,fwd,front,94.5,7499
1,nissan,gas,std,four,wagon,fwd,front,94.5,7999
2,nissan,gas,,two,hardtop,fwd,front,95.1,8249
0,nissan,gas,std,four,hatchback,fwd,front,97.2,8949
0,,gas,std,four,sedan,fwd,front,97.2,9549
0,nissan,gas,std,four,sedan,fwd,front,100.4,13499
0,nissan,gas,std,four,,fwd,front,100.4,14399
0,nissan,gas,,four,sedan,fwd,front,100.4,13499
3,nissan,gas,std,two,hatchback,rwd,front,91.3,17199
3,nissan,gas,turbo,two,hatchback,rwd,front,91.3,19699
1,nissan,gas,std,two,hatchback,rwd,front,,18399
0,peugot,gas,std,four,sedan,rwd,front,107.9,11900
0,peugot,diesel,,four,sedan,rwd,front,107.9,13200
0,peugot,gas,std,four,wagon,rwd,front,114.2,12440
0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,13860
0,peugot,gas,,four,sedan,rwd,front,107.9,15580
0,,diesel,turbo,four,sedan,rwd,front,107.9,16900
0,peugot,gas,std,four,wagon,rwd,front,114.2,16695
0,peugot,diesel,turbo,four,,rwd,front,114.2,17075
0,peugot,gas,std,four,sedan,rwd,front,107.9,16630
0,peugot,diesel,turbo,four,sedan,rwd,front,,17950
0,peugot,gas,turbo,four,sedan,rwd,front,108,18150
1,plymouth,gas,std,two,hatchback,fwd,front,93.7,5572
1,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,7957
1,plymouth,gas,std,four,,fwd,front,93.7,6229
1,plymouth,gas,std,four,sedan,fwd,front,93.7,6692
1,,gas,,four,sedan,fwd,front,93.7,7609
-1,plymouth,gas,std,four,wagon,fwd,front,103.3,8921
3,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,12764
3,porsche,gas,,two,hatchback,rwd,front,94.5,22018
3,porsche,gas,std,two,hardtop,rwd,rear,89.5,32528
3,porsche,gas,std,two,hardtop,rwd,rear,89.5,34028
3,porsche,gas,std,two,convertible,rwd,rear,89.5,37028
1,porsche,gas,std,two,hatchback,rwd,front,98.4,37028
0,renault,gas,std,four,wagon,fwd,front,96.1,9295
2,renault,gas,std,two,,fwd,front,,9895
3,saab,gas,,two,hatchback,fwd,front,99.1,11850
2,saab,gas,std,four,sedan,fwd,front,99.1,12170
3,,gas,std,two,hatchback,fwd,front,99.1,15040
2,saab,gas,,four,sedan,fwd,front,99.1,15510
3,saab,gas,turbo,two,hatchback,fwd,front,99.1,18150
2,saab,gas,turbo,four,sedan,fwd,front,99.1,18620
2,subaru,gas,std,two,hatchback,fwd,front,93.7,5118
2,subaru,gas,std,two,hatchback,fwd,front,93.7,7053
2,subaru,gas,std,two,hatchback,4wd,front,93.3,7603
0,subaru,gas,std,four,sedan,fwd,front,97.2,7126
0,subaru,gas,std,four,,fwd,front,,7775
0,subaru,gas,std,four,sedan,fwd,front,,9960
0,,gas,,four,sedan,4wd,front,97,9233
0,subaru,gas,,four,,4wd,front,97,11259
0,subaru,gas,std,four,wagon,fwd,front,97,7463
0,subaru,gas,std,four,wagon,fwd,front,97,10198
0,subaru,gas,std,four,wagon,4wd,front,96.9,8013
0,subaru,gas,turbo,four,wagon,4wd,front,96.9,11694
1,toyota,gas,std,two,hatchback,fwd,front,95.7,5348
1,toyota,gas,std,two,,fwd,front,95.7,6338
1,toyota,gas,std,four,hatchback,fwd,front,95.7,6488
0,toyota,gas,std,four,wagon,fwd,front,95.7,6918
0,toyota,gas,std,four,wagon,4wd,front,95.7,7898
0,,gas,std,four,wagon,4wd,front,95.7,8778
0,toyota,gas,,four,sedan,fwd,front,95.7,6938
0,toyota,gas,std,four,hatchback,fwd,front,95.7,7198
0,toyota,diesel,std,four,sedan,fwd,front,95.7,7898
0,toyota,diesel,,four,hatchback,fwd,front,95.7,7788
0,toyota,gas,std,four,sedan,fwd,front,95.7,7738
0,,gas,std,four,hatchback,fwd,front,,8358
0,toyota,gas,std,four,sedan,fwd,front,95.7,9258
1,toyota,gas,std,two,,rwd,front,94.5,8058
1,toyota,gas,std,two,hatchback,rwd,front,94.5,8238
1,toyota,gas,std,two,sedan,rwd,front,94.5,9298
1,toyota,gas,std,two,hatchback,rwd,front,,9538
2,toyota,gas,std,two,hardtop,rwd,front,98.4,8449
2,toyota,gas,std,two,hardtop,rwd,front,98.4,9639
2,toyota,gas,std,two,hatchback,rwd,front,98.4,9989
2,toyota,gas,std,two,hardtop,rwd,front,98.4,11199
2,toyota,gas,std,two,hatchback,rwd,front,98.4,11549
2,toyota,gas,,two,convertible,rwd,front,98.4,17669
-1,toyota,gas,std,four,,fwd,front,102.4,8948
-1,toyota,diesel,turbo,four,sedan,fwd,front,102.4,10698
-1,toyota,gas,std,four,hatchback,fwd,front,102.4,9988
-1,toyota,gas,std,four,sedan,fwd,front,102.4,10898
-1,,gas,std,four,hatchback,fwd,front,,11248
3,toyota,gas,std,two,hatchback,rwd,front,102.9,16558
3,toyota,gas,std,two,hatchback,rwd,front,102.9,15998
-1,toyota,gas,std,four,sedan,rwd,front,104.5,15690
-1,toyota,gas,std,four,wagon,rwd,front,,15750
2,volkswagen,diesel,std,two,sedan,fwd,front,97.3,7775
2,volkswagen,gas,std,two,sedan,fwd,front,97.3,7975
2,volkswagen,diesel,,four,,fwd,front,97.3,7995
2,volkswagen,gas,std,four,sedan,fwd,front,97.3,8195
2,,gas,std,four,sedan,fwd,front,97.3,8495
2,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,9495
2,volkswagen,gas,std,four,,fwd,front,,9995
3,volkswagen,gas,,two,convertible,fwd,front,94.5,11595
3,volkswagen,gas,std,two,hatchback,fwd,front,94.5,9980
0,volkswagen,gas,std,four,sedan,fwd,front,100.4,13295
0,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,13845
0,volkswagen,gas,std,four,wagon,fwd,front,100.4,12290
-2,volvo,gas,std,four,sedan,rwd,front,104.3,12940
-1,volvo,gas,std,four,wagon,rwd,front,,13415
-2,volvo,gas,std,four,sedan,rwd,front,104.3,15985
-1,volvo,gas,std,four,wagon,rwd,front,104.3,16515
-2,volvo,gas,turbo,four,,rwd,front,104.3,18420
-1,,gas,turbo,four,wagon,rwd,front,104.3,18950
-1,volvo,gas,std,four,sedan,rwd,front,109.1,16845
-1,volvo,gas,,four,sedan,rwd,front,109.1,19045
-1,volvo,gas,std,four,sedan,rwd,front,109.1,21485
-1,volvo,diesel,turbo,four,,rwd,front,,22470
-1,volvo,gas,turbo,four,sedan,rwd,front,109.1,22625
